image_id,label,variety,age,image_path,age_outlier,variety_grouped,label_id,var_ADT45,var_AndraPonni,var_AtchayaPonni,var_KarnatakaPonni,var_Onthanel,var_Other,var_Ponni,var_Zonal,age_scaled,var_ADT45,var_AndraPonni,var_AtchayaPonni,var_KarnatakaPonni,var_Onthanel,var_Other,var_Ponni,var_Zonal
104682.jpg,hispa,ADT45,60,train_images/hispa/104682.jpg,False,ADT45,7,True,False,False,False,False,False,False,False,-0.4513779931558926,True,False,False,False,False,False,False,False
106668.jpg,dead_heart,KarnatakaPonni,75,train_images/dead_heart/106668.jpg,False,KarnatakaPonni,5,False,False,False,True,False,False,False,False,1.2230282047814847,False,False,False,True,False,False,False,False
103341.jpg,blast,ADT45,70,train_images/blast/103341.jpg,False,ADT45,3,True,False,False,False,False,False,False,False,0.6648928054690255,True,False,False,False,False,False,False,False
106242.jpg,tungro,ADT45,72,train_images/tungro/106242.jpg,False,ADT45,9,True,False,False,False,False,False,False,False,0.8881469651940092,True,False,False,False,False,False,False,False
100234.jpg,bacterial_leaf_blight,ADT45,60,train_images/bacterial_leaf_blight/100234.jpg,False,ADT45,0,True,False,False,False,False,False,False,False,-0.4513779931558926,True,False,False,False,False,False,False,False
106317.jpg,hispa,AndraPonni,65,train_images/hispa/106317.jpg,False,AndraPonni,7,False,True,False,False,False,False,False,False,0.10675740615656645,False,True,False,False,False,False,False,False
105937.jpg,normal,ADT45,70,train_images/normal/105937.jpg,False,ADT45,8,True,False,False,False,False,False,False,False,0.6648928054690255,True,False,False,False,False,False,False,False
100267.jpg,normal,RR,70,train_images/normal/100267.jpg,False,Other,8,False,False,False,False,False,True,False,False,0.6648928054690255,False,False,False,False,False,True,False,False
100825.jpg,hispa,AtchayaPonni,65,train_images/hispa/100825.jpg,False,AtchayaPonni,7,False,False,True,False,False,False,False,False,0.10675740615656645,False,False,True,False,False,False,False,False
101687.jpg,dead_heart,ADT45,80,train_images/dead_heart/101687.jpg,False,ADT45,5,True,False,False,False,False,False,False,False,1.7811636040939436,True,False,False,False,False,False,False,False
